landsat_date,landsat_satellite,outlier,era5_files,modis_files,viirs_files
2018-01-14,8,no,ERA5L_2018_01_14_Madurai.tif,,viirs_raw_2018_01_14_4band.tif
2018-01-30,8,no,ERA5L_2018_01_30_Madurai.tif,,viirs_raw_2018_01_30_4band.tif
2018-02-15,8,no,ERA5L_2018_02_15_Madurai.tif,,viirs_raw_2018_02_15_4band.tif
2018-03-03,8,no,ERA5L_2018_03_03_Madurai.tif,,viirs_raw_2018_03_03_4band.tif
2018-03-19,8,no,ERA5L_2018_03_19_Madurai.tif,,viirs_raw_2018_03_19_4band.tif
2018-04-04,8,no,ERA5L_2018_04_04_Madurai.tif,,viirs_raw_2018_04_04_4band.tif
2018-04-20,8,no,ERA5L_2018_04_20_Madurai.tif,,viirs_raw_2018_04_20_4band.tif
2018-05-06,8,no,ERA5L_2018_05_06_Madurai.tif,,viirs_raw_2018_05_06_4band.tif
2018-05-22,8,no,ERA5L_2018_05_22_Madurai.tif,,viirs_raw_2018_05_22_4band.tif
2018-06-07,8,no,ERA5L_2018_06_07_Madurai.tif,,viirs_raw_2018_06_07_4band.tif
2018-06-23,8,yes,ERA5L_2018_06_23_Madurai.tif,,viirs_raw_2018_06_23_4band.tif
2018-07-09,8,yes,ERA5L_2018_07_09_Madurai.tif,,viirs_raw_2018_07_09_4band.tif
2018-07-25,8,no,ERA5L_2018_07_25_Madurai.tif,,viirs_raw_2018_07_25_4band.tif
2018-08-10,8,no,ERA5L_2018_08_10_Madurai.tif,,viirs_raw_2018_08_10_4band.tif
2018-08-26,8,yes,ERA5L_2018_08_26_Madurai.tif,,viirs_raw_2018_08_26_4band.tif
2018-09-11,8,no,ERA5L_2018_09_11_Madurai.tif,,viirs_raw_2018_09_11_4band.tif
2018-09-27,8,no,ERA5L_2018_09_27_Madurai.tif,,viirs_raw_2018_09_27_4band.tif
2018-10-13,8,no,ERA5L_2018_10_13_Madurai.tif,,viirs_raw_2018_10_13_4band.tif
2018-10-29,8,no,ERA5L_2018_10_29_Madurai.tif,,viirs_raw_2018_10_29_4band.tif
2018-11-14,8,no,ERA5L_2018_11_14_Madurai.tif,,viirs_raw_2018_11_14_4band.tif
2018-11-30,8,no,ERA5L_2018_11_30_Madurai.tif,,viirs_raw_2018_11_30_4band.tif
2018-12-16,8,no,ERA5L_2018_12_16_Madurai.tif,,viirs_raw_2018_12_16_4band.tif
2019-01-01,8,no,ERA5L_2019_01_01_Madurai.tif,,viirs_raw_2019_01_01_4band.tif
2019-01-17,8,no,ERA5L_2019_01_17_Madurai.tif,,viirs_raw_2019_01_17_4band.tif
2019-02-02,8,no,ERA5L_2019_02_02_Madurai.tif,,viirs_raw_2019_02_02_4band.tif
2019-02-18,8,no,ERA5L_2019_02_18_Madurai.tif,,viirs_raw_2019_02_18_4band.tif
2019-03-06,8,no,ERA5L_2019_03_06_Madurai.tif,,viirs_raw_2019_03_06_4band.tif
2019-03-22,8,no,ERA5L_2019_03_22_Madurai.tif,,viirs_raw_2019_03_22_4band.tif
2019-04-07,8,no,ERA5L_2019_04_07_Madurai.tif,,viirs_raw_2019_04_07_4band.tif
2019-04-23,8,no,ERA5L_2019_04_23_Madurai.tif,,viirs_raw_2019_04_23_4band.tif
2019-05-09,8,no,ERA5L_2019_05_09_Madurai.tif,,viirs_raw_2019_05_09_4band.tif
2019-05-25,8,no,ERA5L_2019_05_25_Madurai.tif,,viirs_raw_2019_05_25_4band.tif
2019-06-10,8,no,ERA5L_2019_06_10_Madurai.tif,,viirs_raw_2019_06_10_4band.tif
2019-06-26,8,no,ERA5L_2019_06_26_Madurai.tif,,viirs_raw_2019_06_26_4band.tif
2019-07-12,8,no,ERA5L_2019_07_12_Madurai.tif,,viirs_raw_2019_07_12_4band.tif
2019-07-28,8,no,ERA5L_2019_07_28_Madurai.tif,,viirs_raw_2019_07_28_4band.tif
2019-08-13,8,no,ERA5L_2019_08_13_Madurai.tif,,viirs_raw_2019_08_13_4band.tif
2019-08-29,8,no,ERA5L_2019_08_29_Madurai.tif,,viirs_raw_2019_08_29_4band.tif
2019-09-14,8,no,ERA5L_2019_09_14_Madurai.tif,,viirs_raw_2019_09_14_4band.tif
2019-09-30,8,yes,ERA5L_2019_09_30_Madurai.tif,,viirs_raw_2019_09_30_4band.tif
2019-10-16,8,yes,ERA5L_2019_10_16_Madurai.tif,,viirs_raw_2019_10_16_4band.tif
2019-11-01,8,no,ERA5L_2019_11_01_Madurai.tif,,viirs_raw_2019_11_01_4band.tif
2019-11-17,8,no,ERA5L_2019_11_17_Madurai.tif,,viirs_raw_2019_11_17_4band.tif
2019-12-19,8,no,ERA5L_2019_12_19_Madurai.tif,,viirs_raw_2019_12_19_4band.tif
2020-01-04,8,no,ERA5L_2020_01_04_Madurai.tif,,viirs_raw_2020_01_04_4band.tif
2020-01-20,8,no,ERA5L_2020_01_20_Madurai.tif,,viirs_raw_2020_01_20_4band.tif
2020-02-05,8,no,ERA5L_2020_02_05_Madurai.tif,,viirs_raw_2020_02_05_4band.tif
2020-02-21,8,no,ERA5L_2020_02_21_Madurai.tif,,viirs_raw_2020_02_21_4band.tif
2020-03-08,8,no,ERA5L_2020_03_08_Madurai.tif,,viirs_raw_2020_03_08_4band.tif
2020-03-24,8,no,ERA5L_2020_03_24_Madurai.tif,,viirs_raw_2020_03_24_4band.tif
2020-04-09,8,no,ERA5L_2020_04_09_Madurai.tif,,viirs_raw_2020_04_09_4band.tif
2020-04-25,8,no,ERA5L_2020_04_25_Madurai.tif,,viirs_raw_2020_04_25_4band.tif
2020-05-11,8,no,ERA5L_2020_05_11_Madurai.tif,,viirs_raw_2020_05_11_4band.tif
2020-05-27,8,no,ERA5L_2020_05_27_Madurai.tif,,viirs_raw_2020_05_27_4band.tif
2020-06-12,8,no,ERA5L_2020_06_12_Madurai.tif,,viirs_raw_2020_06_12_4band.tif
2020-06-28,8,no,ERA5L_2020_06_28_Madurai.tif,,viirs_raw_2020_06_28_4band.tif
2020-07-14,8,no,ERA5L_2020_07_14_Madurai.tif,,viirs_raw_2020_07_14_4band.tif
2020-07-30,8,no,ERA5L_2020_07_30_Madurai.tif,,viirs_raw_2020_07_30_4band.tif
2020-08-15,8,yes,ERA5L_2020_08_15_Madurai.tif,,viirs_raw_2020_08_15_4band.tif
2020-08-31,8,no,ERA5L_2020_08_31_Madurai.tif,,viirs_raw_2020_08_31_4band.tif
2020-09-16,8,no,ERA5L_2020_09_16_Madurai.tif,,viirs_raw_2020_09_16_4band.tif
2020-10-02,8,no,ERA5L_2020_10_02_Madurai.tif,,viirs_raw_2020_10_02_4band.tif
2020-10-18,8,no,ERA5L_2020_10_18_Madurai.tif,,viirs_raw_2020_10_18_4band.tif
2020-11-19,8,no,ERA5L_2020_11_19_Madurai.tif,,viirs_raw_2020_11_19_4band.tif
2020-12-05,8,yes,ERA5L_2020_12_05_Madurai.tif,,viirs_raw_2020_12_05_4band.tif
2020-12-21,8,no,ERA5L_2020_12_21_Madurai.tif,,viirs_raw_2020_12_21_4band.tif
2021-01-06,8,no,ERA5L_2021_01_06_Madurai.tif,,viirs_raw_2021_01_06_4band.tif
2021-01-22,8,no,ERA5L_2021_01_22_Madurai.tif,,viirs_raw_2021_01_22_4band.tif
2021-02-07,8,no,ERA5L_2021_02_07_Madurai.tif,,viirs_raw_2021_02_07_4band.tif
2021-02-23,8,no,ERA5L_2021_02_23_Madurai.tif,,viirs_raw_2021_02_23_4band.tif
2021-03-11,8,no,ERA5L_2021_03_11_Madurai.tif,,viirs_raw_2021_03_11_4band.tif
2021-03-27,8,no,ERA5L_2021_03_27_Madurai.tif,,viirs_raw_2021_03_27_4band.tif
2021-04-12,8,no,ERA5L_2021_04_12_Madurai.tif,,viirs_raw_2021_04_12_4band.tif
2021-04-28,8,no,ERA5L_2021_04_28_Madurai.tif,,viirs_raw_2021_04_28_4band.tif
2021-05-14,8,no,ERA5L_2021_05_14_Madurai.tif,,viirs_raw_2021_05_14_4band.tif
2021-05-30,8,no,ERA5L_2021_05_30_Madurai.tif,,viirs_raw_2021_05_30_4band.tif
2021-06-15,8,no,ERA5L_2021_06_15_Madurai.tif,,viirs_raw_2021_06_15_4band.tif
2021-07-01,8,no,ERA5L_2021_07_01_Madurai.tif,,viirs_raw_2021_07_01_4band.tif
2021-07-17,8,yes,ERA5L_2021_07_17_Madurai.tif,,viirs_raw_2021_07_17_4band.tif
2021-08-02,8,no,ERA5L_2021_08_02_Madurai.tif,,viirs_raw_2021_08_02_4band.tif
2021-08-18,8,no,ERA5L_2021_08_18_Madurai.tif,,viirs_raw_2021_08_18_4band.tif
2021-09-03,8,yes,ERA5L_2021_09_03_Madurai.tif,,viirs_raw_2021_09_03_4band.tif
2021-09-19,8,no,ERA5L_2021_09_19_Madurai.tif,,viirs_raw_2021_09_19_4band.tif
2021-10-05,8,yes,ERA5L_2021_10_05_Madurai.tif,,viirs_raw_2021_10_05_4band.tif
2021-10-21,8,no,ERA5L_2021_10_21_Madurai.tif,,viirs_raw_2021_10_21_4band.tif
2021-11-06,8,no,ERA5L_2021_11_06_Madurai.tif,,viirs_raw_2021_11_06_4band.tif
2021-11-22,8,no,ERA5L_2021_11_22_Madurai.tif,,viirs_raw_2021_11_22_4band.tif
2021-12-08,8,no,ERA5L_2021_12_08_Madurai.tif,,viirs_raw_2021_12_08_4band.tif
2021-12-16,9,no,ERA5L_2021_12_16_Madurai.tif,MODIS_2021_12_16_Madurai.tif,viirs_raw_2021_12_16_4band.tif
2021-12-24,8,no,ERA5L_2021_12_24_Madurai.tif,,viirs_raw_2021_12_24_4band.tif
2022-01-01,9,no,ERA5L_2022_01_01_Madurai.tif,MODIS_2022_01_01_Madurai.tif,viirs_raw_2022_01_01_4band.tif
2022-01-09,8,no,ERA5L_2022_01_09_Madurai.tif,,viirs_raw_2022_01_09_4band.tif
2022-01-17,9,no,ERA5L_2022_01_17_Madurai.tif,MODIS_2022_01_17_Madurai.tif,viirs_raw_2022_01_17_4band.tif
2022-01-25,8,no,ERA5L_2022_01_25_Madurai.tif,,viirs_raw_2022_01_25_4band.tif
2022-02-02,9,no,ERA5L_2022_02_02_Madurai.tif,MODIS_2022_02_02_Madurai.tif,viirs_raw_2022_02_02_4band.tif
2022-02-10,8,no,ERA5L_2022_02_10_Madurai.tif,,viirs_raw_2022_02_10_4band.tif
2022-02-18,9,no,ERA5L_2022_02_18_Madurai.tif,MODIS_2022_02_18_Madurai.tif,viirs_raw_2022_02_18_4band.tif
2022-02-26,8,no,ERA5L_2022_02_26_Madurai.tif,,viirs_raw_2022_02_26_4band.tif
2022-03-06,9,no,ERA5L_2022_03_06_Madurai.tif,MODIS_2022_03_06_Madurai.tif,viirs_raw_2022_03_06_4band.tif
2022-03-14,8,no,ERA5L_2022_03_14_Madurai.tif,,viirs_raw_2022_03_14_4band.tif
2022-03-22,9,no,ERA5L_2022_03_22_Madurai.tif,MODIS_2022_03_22_Madurai.tif,viirs_raw_2022_03_22_4band.tif
2022-03-30,8,no,ERA5L_2022_03_30_Madurai.tif,,viirs_raw_2022_03_30_4band.tif
2022-04-07,9,no,ERA5L_2022_04_07_Madurai.tif,MODIS_2022_04_07_Madurai.tif,viirs_raw_2022_04_07_4band.tif
2022-04-15,8,no,ERA5L_2022_04_15_Madurai.tif,,viirs_raw_2022_04_15_4band.tif
2022-04-23,9,no,ERA5L_2022_04_23_Madurai.tif,,viirs_raw_2022_04_23_4band.tif
2022-05-01,8,no,ERA5L_2022_05_01_Madurai.tif,,viirs_raw_2022_05_01_4band.tif
2022-05-09,9,yes,ERA5L_2022_05_09_Madurai.tif,,viirs_raw_2022_05_09_4band.tif
2022-05-17,8,no,ERA5L_2022_05_17_Madurai.tif,,viirs_raw_2022_05_17_4band.tif
2022-05-25,9,no,ERA5L_2022_05_25_Madurai.tif,MODIS_2022_05_25_Madurai.tif,viirs_raw_2022_05_25_4band.tif
2022-06-02,8,no,ERA5L_2022_06_02_Madurai.tif,,viirs_raw_2022_06_02_4band.tif
2022-06-10,9,no,ERA5L_2022_06_10_Madurai.tif,MODIS_2022_06_10_Madurai.tif,viirs_raw_2022_06_10_4band.tif
2022-06-18,8,no,ERA5L_2022_06_18_Madurai.tif,,viirs_raw_2022_06_18_4band.tif
2022-06-26,9,no,ERA5L_2022_06_26_Madurai.tif,MODIS_2022_06_26_Madurai.tif,viirs_raw_2022_06_26_4band.tif
2022-07-04,8,no,ERA5L_2022_07_04_Madurai.tif,,viirs_raw_2022_07_04_4band.tif
2022-07-12,9,no,ERA5L_2022_07_12_Madurai.tif,,viirs_raw_2022_07_12_4band.tif
2022-07-20,8,no,ERA5L_2022_07_20_Madurai.tif,,viirs_raw_2022_07_20_4band.tif
2022-07-28,9,no,ERA5L_2022_07_28_Madurai.tif,MODIS_2022_07_28_Madurai.tif,
2022-08-13,9,no,ERA5L_2022_08_13_Madurai.tif,MODIS_2022_08_13_Madurai.tif,viirs_raw_2022_08_13_4band.tif
2022-08-21,8,no,ERA5L_2022_08_21_Madurai.tif,,viirs_raw_2022_08_21_4band.tif
2022-08-29,9,no,ERA5L_2022_08_29_Madurai.tif,,viirs_raw_2022_08_29_4band.tif
2022-09-06,8,no,ERA5L_2022_09_06_Madurai.tif,,viirs_raw_2022_09_06_4band.tif
2022-09-14,9,no,ERA5L_2022_09_14_Madurai.tif,MODIS_2022_09_14_Madurai.tif,viirs_raw_2022_09_14_4band.tif
2022-09-22,8,no,ERA5L_2022_09_22_Madurai.tif,,viirs_raw_2022_09_22_4band.tif
2022-09-30,9,no,ERA5L_2022_09_30_Madurai.tif,,viirs_raw_2022_09_30_4band.tif
2022-10-08,8,no,ERA5L_2022_10_08_Madurai.tif,,viirs_raw_2022_10_08_4band.tif
2022-10-16,9,no,ERA5L_2022_10_16_Madurai.tif,,viirs_raw_2022_10_16_4band.tif
2022-10-24,8,no,ERA5L_2022_10_24_Madurai.tif,,viirs_raw_2022_10_24_4band.tif
2022-11-01,9,yes,ERA5L_2022_11_01_Madurai.tif,,viirs_raw_2022_11_01_4band.tif
2022-11-09,8,no,ERA5L_2022_11_09_Madurai.tif,MODIS_2022_11_09_Madurai.tif,viirs_raw_2022_11_09_4band.tif
2022-11-17,9,no,ERA5L_2022_11_17_Madurai.tif,,viirs_raw_2022_11_17_4band.tif
2022-11-25,8,no,ERA5L_2022_11_25_Madurai.tif,,viirs_raw_2022_11_25_4band.tif
2022-12-03,9,no,ERA5L_2022_12_03_Madurai.tif,MODIS_2022_12_03_Madurai.tif,viirs_raw_2022_12_03_4band.tif
2022-12-11,8,no,ERA5L_2022_12_11_Madurai.tif,,viirs_raw_2022_12_11_4band.tif
2022-12-19,9,no,ERA5L_2022_12_19_Madurai.tif,MODIS_2022_12_19_Madurai.tif,viirs_raw_2022_12_19_4band.tif
2022-12-27,8,no,ERA5L_2022_12_27_Madurai.tif,MODIS_2022_12_27_Madurai.tif,viirs_raw_2022_12_27_4band.tif
2023-01-04,9,no,ERA5L_2023_01_04_Madurai.tif,MODIS_2023_01_04_Madurai.tif,viirs_raw_2023_01_04_4band.tif
2023-01-12,8,no,ERA5L_2023_01_12_Madurai.tif,MODIS_2023_01_12_Madurai.tif,viirs_raw_2023_01_12_4band.tif
2023-01-20,9,no,ERA5L_2023_01_20_Madurai.tif,MODIS_2023_01_20_Madurai.tif,viirs_raw_2023_01_20_4band.tif
