date_idx,cell_id,y_true,y_pred,landsat_valid_frac,sample_weight,qc_weight
3293,1616,34.993755,33.27726,0.6556474,0.6556474,1.0
3293,1828,30.475582,30.432493,0.844697,0.844697,1.0
3293,1881,30.885149,30.17112,0.63269055,0.63269055,1.0
3293,2038,34.197605,33.1361,0.87689394,0.1687583,0.19245008
3293,2091,32.648056,32.604298,0.9848485,0.18953417,0.19245008
3301,34,30.256525,33.74179,0.9265381,0.38366702,0.4140866
3301,35,31.547417,33.296963,0.91735536,0.49934492,0.54433095
3301,86,29.026497,30.22141,0.76953125,0.5278488,0.6859355
3301,87,26.05837,33.31782,0.9734849,0.5298979,0.54433095
3301,140,26.918682,33.604534,0.86647725,0.4716504,0.54433095
3301,193,31.47133,34.329018,0.6401515,0.26507816,0.4140866
3301,194,29.276573,33.273014,0.79450756,0.43247506,0.54433095
3301,195,29.328968,33.320496,0.6171875,0.40087506,0.6495191
3301,246,28.01305,32.832355,0.92329544,0.17768827,0.19245008
3301,295,30.797874,31.16122,0.74104685,0.74104685,1.0
3301,299,29.052364,30.953403,0.6988062,0.38038185,0.54433095
3301,302,30.035265,28.36331,1.0,1.0,1.0
3301,345,31.78986,32.013622,0.6386719,0.6386719,1.0
3301,348,30.326206,30.18131,0.63257575,0.34433055,0.54433095
3301,350,31.53616,33.323475,0.9962121,0.9962121,1.0
3301,351,30.123741,32.976334,0.9814453,0.53423107,0.54433095
3301,354,31.729132,30.940584,0.99121094,0.5395468,0.54433095
3301,355,30.376238,30.744722,0.9592803,0.52216595,0.54433095
3301,398,32.571304,32.14362,0.63378906,0.63378906,1.0
3301,399,32.650375,30.977898,0.79545456,0.79545456,1.0
3301,400,31.486677,33.071526,0.9482422,0.9482422,1.0
3301,403,32.414825,33.365566,0.98674244,0.98674244,1.0
3301,407,30.272207,29.401632,0.83984375,0.57607865,0.6859355
3301,450,30.950079,30.345293,0.9782197,0.6709956,0.6859355
3301,451,30.716618,31.048607,0.8720703,0.8720703,1.0
3301,452,31.683435,30.544624,0.9488636,0.9488636,1.0
3301,453,30.970692,33.278072,0.8652344,0.8652344,1.0
3301,454,30.277313,33.244164,0.7064394,0.7064394,1.0
3301,456,30.445053,33.68452,0.7140151,0.7140151,1.0
3301,463,33.133614,31.189995,0.82575756,0.82575756,1.0
3301,503,31.411314,30.410828,0.7140151,0.48976833,0.6859355
3301,504,31.89819,33.085796,0.79003906,0.79003906,1.0
3301,505,32.374916,33.245964,1.0,1.0,1.0
3301,508,31.464128,33.298668,0.8623047,0.8623047,1.0
3301,509,30.49168,33.385925,0.8967803,0.8967803,1.0
3301,512,28.811539,31.175316,0.844697,0.844697,1.0
3301,516,31.547209,32.073357,0.71875,0.39123788,0.54433095
3301,555,30.150133,31.291475,0.9583333,0.9583333,1.0
3301,556,31.109732,30.853897,0.8016529,0.8016529,1.0
3301,557,33.541855,32.73097,0.9848485,0.5360835,0.54433095
3301,558,32.853855,31.965897,0.8117539,0.8117539,1.0
3301,560,29.664082,33.377514,0.6418733,0.6418733,1.0
3301,561,29.286114,33.360085,0.81534094,0.81534094,1.0
3301,562,27.531942,31.636658,0.60055095,0.3268985,0.54433095
3301,564,32.236767,32.10859,0.82828283,0.82828283,1.0
3301,568,32.65256,29.147747,0.657197,0.45079476,0.6859355
3301,569,31.120981,29.22726,0.989899,0.6790069,0.6859355
3301,607,31.564322,33.442547,0.6297349,0.3427842,0.54433095
3301,610,31.8104,32.7858,0.9785156,0.53263634,0.54433095
3301,613,30.920069,33.61956,0.91950756,0.91950756,1.0
3301,614,29.874546,32.92034,1.0,1.0,1.0
3301,617,31.06551,31.139154,0.999053,0.999053,1.0
3301,621,30.373676,29.67024,1.0,0.6859355,0.6859355
3301,622,30.194538,29.566193,0.7064394,0.48457184,0.6859355
3301,663,30.8022,31.386135,0.72265625,0.72265625,1.0
3301,666,30.632105,32.82479,1.0,1.0,1.0
3301,667,30.305582,27.544582,0.984375,0.67521775,0.6859355
3301,668,29.926558,30.321901,0.90814394,0.90814394,1.0
3301,669,28.414785,28.958984,0.609375,0.41799194,0.6859355
3301,671,31.52931,33.817978,0.844697,0.844697,1.0
3301,672,32.939644,34.56302,0.69433594,0.69433594,1.0
3301,673,30.662476,30.42769,0.9498106,0.51701134,0.54433095
3301,674,29.320126,30.721458,0.78222656,0.42579013,0.54433095
3301,712,30.514946,30.70493,0.99902344,0.7599829,0.7607258
3301,713,30.375994,30.713776,0.7859849,0.597919,0.7607258
3301,714,29.800407,30.927288,0.7705078,0.41941124,0.54433095
3301,718,30.327612,33.343132,0.82910156,0.45130566,0.54433095
3301,719,31.896677,31.440125,1.0,0.6859355,0.6859355
3301,720,30.789635,30.190254,1.0,0.6859355,0.6859355
3301,721,30.432426,31.6655,0.8285985,0.4510318,0.54433095
3301,722,27.919298,29.23582,0.74902344,0.5137818,0.6859355
3301,724,31.205473,31.878199,0.9734849,0.9734849,1.0
3301,725,32.253437,33.949673,0.9355469,0.9355469,1.0
3301,726,31.198128,30.029936,1.0,0.6859355,0.6859355
3301,727,30.020111,31.473753,0.71972656,0.39176944,0.54433095
3301,767,30.75905,30.61076,0.82714844,0.4502425,0.54433095
3301,771,31.815985,30.750135,0.8466797,0.46087396,0.54433095
3301,772,30.209806,30.543102,0.9649621,0.6619018,0.6859355
3301,773,30.425425,32.90808,0.94628906,0.94628906,1.0
3301,777,33.615314,32.355316,0.999053,0.6852859,0.6859355
3301,778,34.97827,34.228947,1.0,1.0,1.0
3301,779,33.66715,34.603638,1.0,1.0,1.0
3301,780,33.156757,31.778347,0.7529297,0.40984294,0.54433095
3301,781,33.558952,31.500305,0.8958333,0.4876298,0.54433095
3301,782,31.145184,30.493114,0.79003906,0.54191583,0.6859355
3301,819,28.78333,31.889713,0.70339763,0.18918383,0.26895717
3301,820,29.497211,31.557137,0.7964015,0.3804629,0.47772753
3301,821,29.191097,31.014158,0.6501377,0.3538901,0.54433095
3301,824,31.19577,32.904995,0.7121212,0.3876296,0.54433095
3301,829,32.536625,32.36438,0.7612488,0.4143713,0.54433095
3301,830,34.25068,31.931635,1.0,0.6859355,0.6859355
3301,831,33.891407,34.606434,1.0,1.0,1.0
3301,832,32.550945,33.120937,0.6483012,0.4446928,0.6859355
3301,833,34.19156,32.95091,0.67992425,0.46638417,0.6859355
3301,834,34.731533,32.95698,0.9788797,0.67144835,0.6859355
3301,872,29.530977,32.455734,0.7253788,0.19509584,0.26895717
3301,877,30.833508,32.990425,0.9970703,0.54273623,0.54433095
3301,878,30.052847,31.036589,0.7443182,0.40515542,0.54433095
3301,881,30.785248,33.22969,0.6435547,0.6435547,1.0
3301,882,33.79961,34.2726,1.0,1.0,1.0
3301,883,35.173298,35.746727,1.0,1.0,1.0
3301,884,33.06899,32.1026,0.9042969,0.6202893,0.6859355
3301,886,33.57875,33.182846,0.67285156,0.46153277,0.6859355
3301,887,33.96656,32.79497,0.9535985,0.65410703,0.6859355
3301,922,30.659143,33.080326,0.8779297,0.5702321,0.6495191
3301,923,30.272558,33.332832,0.71022725,0.46130615,0.6495191
3301,925,30.189985,31.056381,0.7092803,0.33884272,0.47772753
3301,928,29.328466,32.620384,0.77734375,0.14959987,0.19245008
3301,929,30.257414,33.18668,0.7604167,0.31487837,0.4140866
3301,930,30.723562,30.523582,1.0,0.54433095,0.54433095
3301,931,29.45304,31.226679,0.6401515,0.34845427,0.54433095
3301,935,32.255188,31.719643,0.9308712,0.6385176,0.6859355
3301,936,34.294704,33.973694,0.87784094,0.87784094,1.0
3301,940,31.690413,35.908005,0.76325756,0.76325756,1.0
3301,942,31.579838,34.26132,0.6458333,0.26743093,0.4140866
3301,975,29.71954,30.488007,0.78027344,0.20986013,0.26895717
3301,976,29.553267,30.832808,0.99715906,0.26819307,0.26895717
3301,977,30.52834,30.913412,1.0,0.47772753,0.47772753
3301,981,30.695047,33.692234,0.8544922,0.16444708,0.19245008
3301,983,28.316978,31.535881,0.734375,0.39974305,0.54433095
3301,987,29.95266,31.476223,0.6142578,0.42134124,0.6859355
3301,988,31.72793,32.376873,0.82954544,0.82954544,1.0
3301,992,32.871246,32.323906,0.8095703,0.555313,0.6859355
3301,995,32.758427,35.042778,0.6609849,0.27370498,0.4140866
3301,1027,30.517529,31.07545,1.0,0.6495191,0.6495191
3301,1028,30.200548,30.401928,1.0,0.6495191,0.6495191
3301,1029,30.993832,32.24108,1.0,0.26895717,0.26895717
3301,1030,29.034082,31.164356,0.81347656,0.21879035,0.26895717
3301,1034,28.486452,28.473055,0.75390625,0.14508931,0.19245008
3301,1040,31.5906,32.860558,0.9980469,0.9980469,1.0
3301,1043,34.973873,32.456165,0.6074219,0.25152525,0.4140866
3301,1044,34.70655,30.917818,0.9157197,0.49845457,0.54433095
3301,1048,32.108597,35.17919,0.7594697,0.31448624,0.4140866
3301,1051,31.491337,30.871412,0.60058594,0.45688123,0.7607258
3301,1080,31.555607,31.532948,0.80348945,0.38384902,0.47772753
3301,1082,29.445469,30.523184,0.83838385,0.22548935,0.26895717
3301,1085,27.961185,29.493126,0.61079544,0.1642778,0.26895717
3301,1093,33.274757,34.328568,1.0,1.0,1.0
3301,1096,32.707825,34.76213,0.6401515,0.123197205,0.19245008
3301,1101,31.664286,33.332336,0.7557392,0.41137224,0.54433095
3301,1103,31.390186,32.21607,0.7392103,0.40237504,0.54433095
3301,1104,33.668884,31.913948,1.0,0.7607258,0.7607258
3301,1105,33.28535,32.578102,1.0,0.54433095,0.54433095
3301,1132,31.484407,31.640402,0.8574219,0.40961403,0.47772753
3301,1133,30.68143,31.52878,0.8560606,0.40896374,0.47772753
3301,1134,31.027431,30.841637,0.74121094,0.35409686,0.47772753
3301,1137,28.665054,28.726332,0.7689394,0.3184075,0.4140866
3301,1138,27.4031,27.628487,0.9326172,0.38618428,0.4140866
3301,1139,25.87316,26.21937,0.8058712,0.15508997,0.19245008
3301,1141,26.11129,28.542427,0.9441288,0.18169767,0.19245008
3301,1145,29.892658,30.03292,0.8797349,0.60344136,0.6859355
3301,1149,33.04024,32.793564,0.9814453,0.18887922,0.19245008
3301,1150,31.00609,33.041203,0.7935606,0.4319596,0.54433095
3301,1155,31.305893,32.12984,0.6816406,0.4675615,0.6859355
3301,1156,31.60146,31.654087,1.0,0.54433095,0.54433095
3301,1157,31.704834,32.493057,0.84375,0.45927924,0.54433095
3301,1158,36.17024,32.867294,0.96590906,0.5257742,0.54433095
3301,1159,32.29308,31.934574,0.97265625,0.5294469,0.54433095
3301,1185,32.118877,31.767954,1.0,0.47772753,0.47772753
3301,1186,31.78402,31.156303,0.88257575,0.42163074,0.47772753
3301,1187,30.856464,30.994884,0.68359375,0.32657155,0.47772753
3301,1190,29.568098,29.100252,1.0,0.4140866,0.4140866
3301,1191,27.757915,27.840189,1.0,0.4140866,0.4140866
3301,1198,31.893696,32.844765,1.0,0.54433095,0.54433095
3301,1199,32.84983,33.09874,0.7285156,0.7285156,1.0
3301,1202,31.834644,32.756702,0.8544922,0.16444708,0.19245008
3301,1209,32.04018,31.524014,0.73579544,0.50470823,0.6859355
3301,1210,30.479055,33.73067,0.9160156,0.9160156,1.0
3301,1211,33.48308,34.90043,0.75757575,0.75757575,1.0
3301,1212,32.644073,34.186356,0.6484375,0.4447863,0.6859355
3301,1213,31.959991,32.119263,0.7746212,0.4216503,0.54433095
3301,1237,31.363592,32.17771,0.99810606,0.47682273,0.47772753
3301,1238,31.72082,31.912832,0.8691406,0.4152124,0.47772753
3301,1239,31.27789,31.200571,0.9621212,0.45963177,0.47772753
3301,1240,32.238495,31.140984,0.8251953,0.39421853,0.47772753
3301,1241,29.284485,28.86855,0.85700756,0.5566428,0.6495191
3301,1242,27.382923,28.11351,0.7451172,0.355963,0.47772753
3301,1243,28.520508,28.190685,1.0,0.4140866,0.4140866
3301,1244,28.01586,28.508226,0.87890625,0.3639433,0.4140866
3301,1245,26.061657,26.973589,0.60132575,0.60132575,1.0
3301,1250,30.55468,33.09023,0.9970703,0.41287348,0.4140866
3301,1253,33.50115,31.639194,0.8087121,0.44020703,0.54433095
3301,1254,33.230625,32.206444,0.87784094,0.87784094,1.0
3301,1255,32.630466,33.525806,0.984375,0.4076165,0.4140866
3301,1258,32.39499,33.530582,0.64772725,0.26821518,0.4140866
3301,1263,32.783875,32.545673,0.87402344,0.5995237,0.6859355
3301,1264,32.839653,31.466457,1.0,0.6859355,0.6859355
3301,1290,31.475578,31.846394,0.9280303,0.6027734,0.6495191
3301,1291,31.583633,31.771412,0.80859375,0.3862875,0.47772753
3301,1292,31.75501,31.678965,0.87689394,0.41891637,0.47772753
3301,1293,31.300657,30.588963,0.91015625,0.5911639,0.6495191
3301,1294,29.930782,30.024984,0.6998106,0.45454034,0.6495191
3301,1296,27.666037,28.625217,0.7130682,0.295272,0.4140866
3301,1302,28.762568,28.516197,0.87689394,0.87689394,1.0
3301,1303,33.145004,30.545853,0.6044922,0.41464266,0.6859355
